word	freq
the	89220594
to	38420361
of	37672007
a	33471872
and	32780995
in	32434890
s	16300795
that	14227980
for	14005851
on	12404347
said	11332372
is	10627960
with	9592166
was	9017322
he	8765108
it	8719969
by	8706637
at	8340027
as	7900239
from	6790634
his	5987521
be	5943803
have	5799470
has	5788050
but	5455692
are	5373039
an	5366127
not	4672110
will	4602332
i	4474950
they	4404502
who	4365344
this	4038001
were	3892118
had	3789138
new	3705465
we	3635377
their	3571177
its	3403980
which	3249454
or	3212822
after	3191575
would	3185077
more	3178477
been	3130374
about	2969790
one	2934846
t	2693955
two	2675677
up	2664108
percent	2636471
also	2499827
when	2496007
people	2450561
out	2285429
than	2276257
there	2271435
last	2267343
first	2231968
all	2229612
you	2224181
year	2204899
government	2180743
over	2089824
if	2055499
other	2037073
she	2012886
some	2002129
can	1961460
president	1957590
into	1922834
no	1842916
her	1832030
million	1739291
world	1647811
years	1638538
what	1624636
time	1602374
could	1587484
against	1518356
only	1486217
so	1478397
us	1448386
united	1440268
three	1423736
most	1383060
them	1374016
because	1352575
state	1332757
just	1302424
before	1301986
since	1293597
china	1293351
may	1293309
now	1283101
like	1278201
news	1262322
states	1275352
while	1212861
him	1211526
many	1201566
officials	1178889
country	1238204
minister	1139826
do	1130318
york	1124222
where	1122425
between	1116398
down	1114551
city	1109819
police	1091125
any	1077570
billion	1070151
made	1067502
told	1060569
national	1059321
during	1048365
our	1030492
tuesday	1081278
week	1021168
even	1018976
wednesday	1058834
washington	1000962
group	997695
international	995286
day	990660
monday	1040031
company	1018269
thursday	1038257
make	984569
friday	1037832
off	980187
still	978622
back	968883
get	967915
under	964822
those	962703
south	938762
through	923035
former	918700
such	917899
times	910547
being	901880
afp	898369
security	893059
how	891368
my	886833
should	883699
next	880568
foreign	878566
here	877774
then	873281
four	871083
say	869987
end	868598
military	868509
ap	868020
take	859465
second	853786
did	842932
including	834079
american	830902
much	822661
house	822297
party	821170
another	814463
war	813168
says	810354
way	809030
both	803244
according	796727
home	794190
sunday	824428
market	810156
don	771942
very	769014
dollars	768238
iraq	767815
political	764899
team	752133
going	749304
work	746133
bank	744523
part	740361
court	730249
economic	729140
these	724094
five	717759
public	716917
good	714966
well	713303
report	705660
points	730621
official	699314
re	698588
won	694675
bush	692884
set	687771
top	686431
saturday	718104
around	684493
major	674077
go	667284
killed	664546
think	661138
called	654621
north	648418
countries	670431
month	642179
xinhua	639373
expected	638451
taiwan	629510
days	620889
service	651245
among	619523
meeting	618279
help	615015
business	646265
want	608493
months	645591
several	606720
see	606631
high	605620
left	602267
long	600761
chief	599420
game	589606
same	587686
members	585702
general	584272
march	581275
trade	579501
early	575067
women	572513
use	571614
prime	568183
chinese	567380
local	565643
came	565001
th	564451
six	563131
federal	560766
talks	560044
reported	559261
israel	557808
your	556535
japan	556432
june	556408
until	554483
right	553900
without	553564
added	552215
leader	550317
companies	565444
peace	545356
european	544981
took	544208
found	543368
come	542424
least	542331
later	540569
office	570494
saying	538762
know	538241
money	538150
support	535862
m	535222
own	535122
used	534796
clinton	533778
put	531592
oil	531493
each	531348
white	528642
past	528306
me	527997
financial	527513
number	525700
leaders	524279
spokesman	522510
too	522293
power	515850
few	513141
law	513051
case	511089
little	510392
open	507220
ago	503733
never	502929
place	502141
whether	501485
held	499862
west	499481
men	498538
children	529804
today	497515
earlier	497298
plan	497091
third	496058
life	493818
forces	492696
move	492127
health	488620
late	488289
family	487761
troops	487203
following	487019
statement	513647
best	486280
russia	486152
man	486055
stock	485596
recent	485246
might	485067
-year-old	482291
central	481932
win	481526
however	479840
season	535316
close	478219
big	477677
john	477426
capital	476846
show	468083
department	466626
need	465385
israeli	465065
got	462407
play	461804
prices	461751
france	460788
already	459349
far	458334
every	456565
campaign	474651
agency	454683
must	454006
force	453933
economy	483328
final	451395
ve	449637
union	446443
deal	446375
lead	446113
british	445156
center	444243
night	439386
games	438100
school	437244
administration	437017
nations	436972
director	436446
press	435419
system	468170
bill	434685
palestinian	431101
army	429078
july	428805
information	427822
rights	426267
air	425485
give	421599
head	420245
east	418683
cup	417683
lost	416305
french	415982
conference	432883
decision	413560
moved	412642
april	411786
sales	411310
visit	410899
korea	409461
better	409428
rose	408867
defense	408160
become	407779
london	406519
asked	406481
death	405385
less	404839
committee	403703
program	431993
hit	402618
attack	400730
call	399359
index	398870
near	397672
went	395881
nuclear	395766
election	395593
great	395246
hong	393886
away	391771
industry	391556
half	391409
run	391392
university	389977
region	389512
plans	389130
shares	388913
council	388362
began	387600
words	385442
others	384749
area	384197
kong	382566
announced	380123
nation	379315
led	378745
didn	378667
control	378637
though	377861
does	377632
lot	377584
agreement	376674
start	376593
beijing	376354
ministry	375593
opposition	375461
issue	374823
development	373236
germany	373192
exchange	372515
league	372288
making	372041
america	370637
workers	369905
whose	369095
record	369074
fell	368825
trying	367981
once	367758
story	367490
keep	366172
weeks	365619
authorities	365558
small	365124
policy	365066
russian	365060
los	364604
results	364102
attacks	363126
really	361904
nearly	361620
human	361358
vote	361284
india	360661
point	359543
san	357603
democratic	355907
again	355600
growth	355421
rate	355284
yet	354745
seven	353907
dollar	352981
although	351193
southern	350489
despite	349522
return	348912
change	348575
young	346680
congress	346414
iran	345869
along	344745
look	344402
taken	344347
series	344321
secretary	344160
free	342965
enough	341543
media	341013
cut	340855
share	339959
across	339249
groups	338889
pay	337321
price	336892
special	336345
find	336307
executive	335900
iraqi	335782
real	332647
japanese	332493
town	332160
clear	331734
likely	330755
leading	330611
senior	329710
something	329358
chairman	329066
players	328255
strong	328191
interest	327919
important	327614
behind	327202
food	327005
known	326494
angeles	325731
total	325497
elections	325263
key	325105
europe	324732
pakistan	324447
post	323323
d	322652
outside	322611
given	322563
hours	322547
continue	322433
working	321918
further	321899
eight	321830
reports	320805
africa	319847
almost	319589
possible	319108
efforts	317585
issues	317502
within	316979
water	316675
x	316618
line	316600
taking	315594
side	315579
television	315403
eu	314518
de	313939
seen	313388
future	313211
presidential	313050
soldiers	312996
higher	312777
things	310895
meet	310051
old	310013
minutes	339343
northern	308703
current	308605
increase	308440
daily	308136
face	308075
died	307918
main	306814
utc	306687
global	306518
commission	306417
rates	305987
largest	305602
stocks	305020
britain	304517
tax	304458
car	303918
australia	303530
played	302068
job	301820
ahead	301513
investors	299190
round	298634
why	298440
ll	298257
process	297729
large	297711
david	296859
obama	296558
fire	295364
released	293908
often	293865
senate	293726
violence	293486
black	292902
budget	292884
victory	292326
always	292123
problems	291551
shot	291111
sent	290238
believe	290204
street	290140
per	289840
services	288646
miles	287522
energy	286287
having	286190
based	284273
action	284172
board	284153
agreed	283089
investment	282901
republican	282773
crisis	281418
due	280547
research	280540
england	277783
order	277553
hard	277275
january	277208
gave	277131
member	276644
building	276372
history	305612
able	274807
role	274800
lower	274185
euro	274016
un	273757
match	272550
wanted	270253
coach	270074
california	269288
name	268303
different	268279
german	267756
weapons	267584
race	267572
private	267041
drug	266756
parliament	264915
markets	281908
ever	264668
michael	264586
hope	264151
paris	263848
level	263440
african	263403
recently	263347
hold	263064
thousands	262666
quarter	262660
relations	262424
september	261548
afghanistan	277593
texas	260510
trading	260093
george	259452
test	259180
full	258933
morning	258677
coming	258490
started	258394
site	258022
try	258010
charges	257986
average	257710
western	256205
americans	255457
tokyo	255355
doesn	255062
mark	255029
problem	254683
aid	253867
film	253671
getting	253332
closed	252944
community	251913
accused	251613
medical	251274
students	250994
dead	250859
areas	250662
fighting	250571
reporters	249640
mexico	248436
analysts	248172
trial	248115
island	248017
border	247360
taipei	247138
biggest	247122
front	247054
looking	246340
scheduled	245634
red	245578
social	245382
situation	245353
period	245330
province	245308
done	245115
fall	244757
hospital	244734
received	244421
latest	243663
yen	243646
middle	242733
using	242629
care	242389
pressure	241090
woman	240839
republic	240576
together	240559
include	240515
himself	239998
reached	239869
previous	239566
december	239063
association	239035
baghdad	238867
provide	238835
became	238537
let	238344
technology	237327
stories	236853
vice	236116
italy	235829
gmt	234746
thing	234642
cooperation	234620
newspaper	234422
soon	233796
stop	233716
thought	233328
book	233209
cost	233116
offer	233112
nine	233104
goal	232972
october	232609
release	232144
production	232023
course	231534
legal	231190
kind	231163
organization	231000
fight	230788
toward	230363
doing	229583
showed	229432
buy	228979
arrested	228819
result	228751
turned	228632
questions	228522
bring	228303
calls	228090
november	227830
makes	227801
tour	227792
met	227505
fourth	227101
failed	226225
atlanta	225971
justice	225966
wife	225593
instead	225553
adding	224981
signed	224942
gold	224740
spain	224437
nothing	223689
cases	223642
county	223473
gas	222958
leave	222794
internet	222528
asia	222511
playing	222365
available	222319
wants	222257
boston	221465
staff	221441
demand	221330
sports	220825
comes	220645
low	220407
remain	219711
list	219635
running	219575
club	219553
islamic	219367
ruling	219164
study	218895
live	218838
body	218752
beat	218702
august	218678
judge	218474
effort	218143
democrats	217650
